Month,Num_Search_Vacation
2004-01-01,74
2004-02-01,74
2004-03-01,69
2004-04-01,69
2004-05-01,67
2004-06-01,70
2004-07-01,75
2004-08-01,58
2004-09-01,54
2004-10-01,48
2004-11-01,58
2004-12-01,59
2005-01-01,83
2005-02-01,100
2005-03-01,89
2005-04-01,65
2005-05-01,76
2005-06-01,73
2005-07-01,79
2005-08-01,62
2005-09-01,54
2005-10-01,51
2005-11-01,50
2005-12-01,48
2006-01-01,81
2006-02-01,74
2006-03-01,80
2006-04-01,67
2006-05-01,78
2006-06-01,72
2006-07-01,87
2006-08-01,69
2006-09-01,49
2006-10-01,50
2006-11-01,46
2006-12-01,57
2007-01-01,82
2007-02-01,76
2007-03-01,73
2007-04-01,75
2007-05-01,68
2007-06-01,78
2007-07-01,78
2007-08-01,63
2007-09-01,52
2007-10-01,50
2007-11-01,47
2007-12-01,60
2008-01-01,84
2008-02-01,75
2008-03-01,72
2008-04-01,67
2008-05-01,75
2008-06-01,80
2008-07-01,68
2008-08-01,63
2008-09-01,42
2008-10-01,41
2008-11-01,42
2008-12-01,47
2009-01-01,70
2009-02-01,61
2009-03-01,58
2009-04-01,54
2009-05-01,54
2009-06-01,61
2009-07-01,55
2009-08-01,44
2009-09-01,32
2009-10-01,36
2009-11-01,31
2009-12-01,39
2010-01-01,50
2010-02-01,41
2010-03-01,43
2010-04-01,38
2010-05-01,44
2010-06-01,43
2010-07-01,41
2010-08-01,32
2010-09-01,26
2010-10-01,23
2010-11-01,22
2010-12-01,26
2011-01-01,41
2011-02-01,37
2011-03-01,37
2011-04-01,32
2011-05-01,35
2011-06-01,39
2011-07-01,35
2011-08-01,28
2011-09-01,25
2011-10-01,20
2011-11-01,23
2011-12-01,27
2012-01-01,38
2012-02-01,32
2012-03-01,30
2012-04-01,26
2012-05-01,30
2012-06-01,32
2012-07-01,30
2012-08-01,23
2012-09-01,18
2012-10-01,18
2012-11-01,18
2012-12-01,23
2013-01-01,28
2013-02-01,24
2013-03-01,25
2013-04-01,22
2013-05-01,25
2013-06-01,28
2013-07-01,28
2013-08-01,24
2013-09-01,17
2013-10-01,17
2013-11-01,18
2013-12-01,23
2014-01-01,25
2014-02-01,25
2014-03-01,26
2014-04-01,22
2014-05-01,26
2014-06-01,30
2014-07-01,29
2014-08-01,23
2014-09-01,19
2014-10-01,18
2014-11-01,18
2014-12-01,24
2015-01-01,26
2015-02-01,27
2015-03-01,26
2015-04-01,27
2015-05-01,30
2015-06-01,33
2015-07-01,36
2015-08-01,36
2015-09-01,23
2015-10-01,20
2015-11-01,24
2015-12-01,30
2016-01-01,31
2016-02-01,29
2016-03-01,28
2016-04-01,29
2016-05-01,29
2016-06-01,33
2016-07-01,31
2016-08-01,24
2016-09-01,19
2016-10-01,20
2016-11-01,22
2016-12-01,26
2017-01-01,30
2017-02-01,29
2017-03-01,28
2017-04-01,27
2017-05-01,29
2017-06-01,32
2017-07-01,31
2017-08-01,25
2017-09-01,19
2017-10-01,19
2017-11-01,20
2017-12-01,25
2018-01-01,28
2018-02-01,26
2018-03-01,28
2018-04-01,30
2018-05-01,30
2018-06-01,30
2018-07-01,27
2018-08-01,24
2018-09-01,19
2018-10-01,18
2018-11-01,22
2018-12-01,25
2019-01-01,26
2019-02-01,26
2019-03-01,23
2019-04-01,23
2019-05-01,24
2019-06-01,28
2019-07-01,25
2019-08-01,20
2019-09-01,17
2019-10-01,17
2019-11-01,18
2019-12-01,21
2020-01-01,23
